,sim_original,sim_quantity,sim_location,sim_object,sim_gender-number,sim_gender,sim_full
clip,0.8461441166698933,0.7612528741873544,0.7861061073266543,0.6788437343424275,0.7270602814175866,0.7530628366951357,0.53228425280172
clip-quickgelu,0.8727758530527353,0.7813940762445845,0.7918340288675748,0.6806194870954468,0.7408408617431467,0.761645813390874,0.5018275523824351
siglip,0.3713785320986062,0.3121095147259809,0.2749662517453544,0.17560745689219662,0.23212250449102034,0.28399638158069657,0.10463597743572398
siglip2,0.4467405891045928,0.3698602351681169,0.33692124041800314,0.22573225144740372,0.29244327007538895,0.3524979164725856,0.14440352410416707
radio,0.9743708562105894,0.8740137581681383,0.8244288689815081,0.6689891502970741,0.7747558182613417,0.8406074070616772,0.4146852119776763
