,sim_original,sim_quantity,sim_location,sim_object,sim_gender-number,sim_gender,sim_full
clip,0.8533541403710843,0.7988489257252734,0.7617771202190355,0.6920170561387772,0.7317327278164717,0.8111993454291787,0.5313398666679859
clip-quickgelu,0.8832834661006927,0.8434232389149459,0.7673637444774309,0.6862908783482342,0.740211636114579,0.840719566798546,0.5091397024691104
siglip,0.3770057477988303,0.3852320519154486,0.28517959994049025,0.23659803479174038,0.3144197595807222,0.34312585224463066,0.06486997301787288
siglip2,0.4530884098261595,0.4548919346669446,0.36501308903098106,0.31805814641368824,0.38781458511948586,0.42547278001274863,0.16867967965081332
radio,0.9837472125887871,0.9970598181952601,0.8674140963138957,0.8001889501948182,0.9088618222337502,0.9417818434221644,0.4933425266295671
